name,price,type,efficiency,wattage,modular,color,efficiency_type,modularity,Watts
Xilence XP830R8,,ATX,0.8723404255319148,0.34054054054054056,0.0,Black / Red,bronze,False,830
Enermax Platimax,,ATX,0.9574468085106382,0.7027027027027027,1.0,,platinum,Full,1500
SeaSonic S12G,,ATX,0.925531914893617,0.2972972972972973,0.0,,gold,False,750
Antec True Power,,ATX,0.925531914893617,0.2972972972972973,0.0,,gold,False,750
Antec VP,,ATX,0.851063829787234,0.1891891891891892,0.0,,plus,False,550
Enermax REVOLUTION X't,,ATX,0.925531914893617,0.12432432432432433,0.6000000000000001,,gold,Semi,430
Apevia ATX-VN500W,,ATX,0.0,0.16216216216216217,0.0,,white,False,500
be quiet! Pure Power 10,,ATX,0.8723404255319148,0.08108108108108109,0.0,,bronze,False,350
NZXT HALE90 V2 850W,,ATX,0.925531914893617,0.35135135135135137,1.0,,gold,Full,850
Enermax TRIATHLOR,,ATX,0.8723404255319148,0.1891891891891892,0.6000000000000001,,bronze,Semi,550
Cooler Master Silent Pro M,,ATX,0.851063829787234,0.21621621621621623,1.0,,plus,Full,600
Cooler Master Silent Pro M,,ATX,0.8723404255319148,0.35135135135135137,0.6000000000000001,,bronze,Semi,850
Thermaltake Toughpower XT,,ATX,0.8723404255319148,0.2027027027027027,1.0,,bronze,Full,575
Zalman ZM770-XT,,ATX,0.8723404255319148,0.3081081081081081,1.0,,bronze,Full,770
SeaSonic SS-460FL Active PFC F3,,ATX,0.9574468085106382,0.14054054054054055,1.0,,platinum,Full,460
Rosewill Quark 550,,ATX,0.9574468085106382,0.1891891891891892,1.0,,platinum,Full,550
CoolMax ZU-600B,,ATX,0.8723404255319148,0.21621621621621623,0.6000000000000001,,bronze,Semi,600
be quiet! Pure Power L7,,ATX,0.851063829787234,0.08108108108108109,0.0,,plus,False,350
Sentey XPP725-PS,,ATX,0.0,0.28378378378378377,0.6000000000000001,,white,Semi,725
Nexus NX-5000 R3,,ATX,0.8723404255319148,0.1783783783783784,0.0,,bronze,False,530
Cooler Master i500,,ATX,0.8723404255319148,0.16216216216216217,0.0,,bronze,False,500
XFX XT,,ATX,0.8723404255319148,0.21621621621621623,0.0,,bronze,False,600
Raidmax Scorpio,,ATX,0.8723404255319148,0.18108108108108106,0.6000000000000001,Black / Blue,bronze,Semi,535
Raidmax Cobra,,ATX,0.925531914893617,0.21621621621621623,0.6000000000000001,,gold,Semi,600
Thermaltake Smart,,ATX,0.8723404255319148,0.5405405405405406,0.6000000000000001,,bronze,Semi,1200
FSP Group Berzerker,,ATX,0.8723404255319148,0.16216216216216217,0.0,,bronze,False,500
GAMDIAS ASTRAPE M1,,ATX,0.851063829787234,0.1891891891891892,0.0,Black / Multicolor,plus,False,550
Xigmatek NRP-MC702,,ATX,0.8723404255319148,0.2702702702702703,1.0,,bronze,Full,700
Xigmatek NRP-MC1002,,ATX,0.8723404255319148,0.43243243243243246,1.0,,bronze,Full,1000
Zalman zm-400-LE,,ATX,0.0,0.10810810810810811,0.0,,white,False,400
be quiet! Dark Power Pro 11,,ATX,0.9574468085106382,0.5405405405405406,0.6000000000000001,,platinum,Semi,1200
EVGA 550 GD,,ATX,0.925531914893617,0.1891891891891892,0.0,Black,gold,False,550
RIOTORO ENIGMA G2,,ATX,0.925531914893617,0.24324324324324326,1.0,Black / Yellow,gold,Full,650
RIOTORO ENIGMA G2,,ATX,0.925531914893617,0.35135135135135137,1.0,Black / Yellow,gold,Full,850
RIOTORO BUILDER,,ATX,0.851063829787234,0.21621621621621623,0.0,Black / Red,plus,False,600
FSP Group Hydro X,,ATX,0.925531914893617,0.24324324324324326,0.0,,gold,False,650
SeaSonic X,,ATX,0.925531914893617,0.3027027027027027,1.0,,gold,Full,760
Thermaltake Toughpower,,ATX,0.925531914893617,0.1891891891891892,0.0,,gold,False,550
XFX TS,,ATX,0.925531914893617,0.2972972972972973,0.0,,gold,False,750
FSP Group Raider S 450,,ATX,0.9042553191489362,0.13513513513513514,0.0,,silver,False,450
be quiet! Pure Power L8,,ATX,0.8723404255319148,0.08108108108108109,0.0,,bronze,False,350
be quiet! Power Zone 1000W,,ATX,0.8723404255319148,0.43243243243243246,1.0,,bronze,Full,1000
SeaSonic S12G,,ATX,0.925531914893617,0.24324324324324326,0.0,,gold,False,650
FSP Group PT850FM,,ATX,0.9574468085106382,0.35135135135135137,1.0,,platinum,Full,850
SeaSonic G,,ATX,0.925531914893617,0.13513513513513514,0.6000000000000001,,gold,Semi,450
Rosewill ARC 650,,ATX,0.8723404255319148,0.24324324324324326,0.0,,bronze,False,650
