name,price,type,efficiency,wattage,modular,color,efficiency_type,modularity
SeaSonic SS-500ES Bronze,,ATX,82.0,500,0.0,,bronze,False
Thermaltake Toughpower DPS G,,ATX,87.0,1050,10.0,,gold,Full
Topower TOP-1000WG,,ATX,87.0,1000,0.0,,gold,False
BitFenix Fury,,ATX,87.0,750,6.0,,gold,Semi
Xilence XP730R8,,ATX,82.0,730,0.0,Black / Red,bronze,False
Mistel MX550 FANLESS,,ATX,87.0,550,10.0,Black,gold,Full
Inter-Tech Coba Nitrox Nobility,,ATX,85.0,800,6.0,Black / Orange,silver,Semi
Inter-Tech Coba Nitrox Nobility,,ATX,85.0,900,6.0,Black / Orange,silver,Semi
Cyonic AU-650X,,ATX,87.0,650,10.0,,gold,Full
Sentey GSP650-SM,,ATX,87.0,650,10.0,,gold,Full
Cougar COUGAR-SX700,,ATX,85.0,700,0.0,,silver,False
Cougar COUGAR-700CMX,,ATX,82.0,700,0.0,,bronze,False
Thortech Thunderbolt,,ATX,87.0,850,10.0,,gold,Full
Sparkle SPI300GLS-B204,,SFX,0.0,300,0.0,,white,False
Azza PSAZ-850B14,,ATX,0.0,850,0.0,,white,False
Xion XON-850P14F,,ATX,0.0,850,0.0,,white,False
Apevia AD,,ATX,0.0,500,0.0,Black,white,False
Apevia Astro,,ATX,0.0,500,0.0,Black,white,False
Diablotek PSUL575,,ATX,0.0,575,0.0,,white,False
Cougar A,,ATX,82.0,660,0.0,Black,bronze,False
Super Flower Leadex Gold,,ATX,87.0,1000,10.0,,gold,Full
Super Flower Leadex Gold,,ATX,87.0,850,10.0,,gold,Full
XFX P1-550S-XXBA,,ATX,82.0,550,0.0,,bronze,False
Rosewill Tachyon 1200,,ATX,90.0,1200,10.0,Black,platinum,Full
Antec VP-P,,ATX,0.0,450,0.0,,white,False
Enermax MaxTytan,,ATX,94.0,800,10.0,,titanium,Full
StarTech ATX2PW500PRO,167.75,ATX,0.0,500,0.0,,white,False
FSP Group FSP300-60SGV,79.98,TFX,87.0,300,0.0,,gold,False
Noua Volture X GX-MVX,,ATX,87.0,850,10.0,Black,gold,Full
XFX P1-750S-NLB9,,ATX,82.0,750,0.0,,bronze,False
Rosewill VALENS-500M,,ATX,87.0,500,6.0,,gold,Semi
Rosewill VALENS-700,,ATX,87.0,700,0.0,,gold,False
Cooler Master Silent Pro Gold,,ATX,87.0,550,0.0,,gold,False
Antec VP,,ATX,0.0,700,0.0,,white,False
Enermax EPM1200EWT,,ATX,90.0,1200,10.0,,platinum,Full
Topower TOP-1000P12-ADJ,,ATX,0.0,1000,6.0,,white,Semi
Antec High Current Pro,,ATX,90.0,750,10.0,,platinum,Full
Ultra LSP,,ATX,0.0,450,0.0,,white,False
be quiet! TFX Power 2,,TFX,82.0,300,0.0,,bronze,False
be quiet! TFX Power 2,,TFX,87.0,300,0.0,,gold,False
Enermax REVOLUTION87+,,ATX,87.0,550,6.0,,gold,Semi
Kingwin Lazer Platinum,,ATX,90.0,750,6.0,,platinum,Semi
Kingwin Lazer Platinum,,ATX,90.0,1000,6.0,,platinum,Semi
Apevia ATX-RP500W,,ATX,0.0,500,0.0,,white,False
SeaSonic SS-750HT Silver,,ATX,85.0,750,0.0,,silver,False
Thermaltake Toughpower Grand,,ATX,90.0,850,10.0,,platinum,Full
Thermaltake EVO_Blue,,ATX,0.0,750,10.0,,white,Full
Thermaltake Toughpower XT,,ATX,90.0,1275,6.0,,platinum,Semi
In Win Commander III,,ATX,87.0,700,6.0,,gold,Semi
Zalman ZM600-HP,,ATX,0.0,600,10.0,,white,Full
Zalman 1250 Platinum,,ATX,90.0,1250,6.0,,platinum,Semi
Thermaltake EVO_Blue,,ATX,87.0,650,6.0,,gold,Semi
Thermaltake EVO_Blue,,ATX,87.0,850,6.0,,gold,Semi
NZXT HALE90 V2,,ATX,87.0,1200,10.0,,gold,Full
SeaSonic M12II,,ATX,82.0,380,0.0,,bronze,False
LEPA B850-MA,,ATX,82.0,850,6.0,,bronze,Semi
NZXT HALE82,,ATX,82.0,850,6.0,,bronze,Semi
Antec Basiq,,ATX,80.0,430,0.0,,plus,False
Antec Signature,,ATX,82.0,850,10.0,,bronze,Full
Thermaltake Toughpower DPS G,,ATX,90.0,1050,10.0,,platinum,Full
Apevia ATX-AS680W-BL,,ATX,0.0,680,0.0,,white,False
Apevia ATX-CB600W,,ATX,0.0,600,0.0,,white,False
Apevia ATX-TL450W,,ATX,0.0,450,0.0,,white,False
HEC HEC200SA2FX,,Mini ITX,0.0,200,0.0,,white,False
HEC HP585D RETAIL,,ATX,0.0,585,0.0,,white,False
HEC XPOWER585 RETAIL,,ATX,0.0,585,0.0,,white,False
CoolMax CA-450,,ATX,0.0,450,0.0,,white,False
CoolMax MP-550B,,ATX,80.0,550,0.0,,plus,False
CoolMax ZP-1000B,,ATX,82.0,1000,6.0,,bronze,Semi
Azza Titan,,ATX,82.0,1000,0.0,,bronze,False
Enermax EES400AWT_II,,ATX,80.0,400,0.0,,plus,False
Enermax EMD625AWT_II,,ATX,82.0,625,10.0,,bronze,Full
Enermax ERV1020EWT,,ATX,85.0,1020,10.0,,silver,Full
Enermax ERV920EWT,,ATX,85.0,920,10.0,,silver,Full
Enermax ETK500AWT,,ATX,0.0,500,0.0,,white,False
In Win Commander,,ATX,80.0,1200,10.0,,plus,Full
OCZ EliteXStream,,ATX,80.0,1000,0.0,,plus,False
OCZ StealthXstream II,,ATX,80.0,700,0.0,,plus,False
SeaSonic SSP-350ST,,ATX,82.0,350,0.0,,bronze,False
Raidmax RX-1200AE,,ATX,82.0,1200,6.0,,bronze,Semi
Sparkle SPI460PFB2-MC2,,ATX,80.0,460,0.0,,plus,False
Raidmax RX-380K,,ATX,0.0,380,0.0,,white,False
FSP Group FSP300-60GHS(85),,SFX,82.0,300,0.0,,bronze,False
Rosewill Stallion,,ATX,0.0,450,0.0,,white,False
Rosewill RV2-500,,ATX,0.0,500,0.0,,white,False
Rosewill RV2-700,,ATX,0.0,700,0.0,,white,False
Rosewill RV350-2,,ATX,0.0,350,0.0,,white,False
Silverstone Strider,,ATX,85.0,1000,10.0,,silver,Full
Silverstone Strider,,ATX,80.0,1200,10.0,,plus,Full
Sunbeam PSU-ECO750-US-BL,,ATX,80.0,750,0.0,,plus,False
Thermaltake EVO_Blue,,ATX,0.0,550,10.0,,white,Full
XFX Black Edition,,ATX,85.0,750,10.0,,silver,Full
SeaSonic SS-350ET Bronze,,ATX,82.0,350,0.0,,bronze,False
Enermax REVOLUTION X't,,ATX,87.0,730,6.0,,gold,Semi
