name,price,socket,form_factor,max_memory,memory_slots,color,manufacturer,chipset,SATA,M.2,BAND,PCIe,OC,WIFI,max_memory_spec,memory_slots_spec,SATA_spec,BAND_spec,PCIe_spec,OC_spec
MSI MAG B650M MORTAR WIFI,199.95,AM5,Micro ATX,0.1232876712328767,0.2727272727272727,Black,MSI,B650,0.2,2.0,0.6363636363636364,0.75,1.0,True,128,4,4.0,16.0,4.0,True
NZXT N7 B650E,316.99,AM5,ATX,0.1232876712328767,0.2727272727272727,White,NZXT,B650,0.2,2.0,0.6363636363636364,0.75,1.0,False,128,4,4.0,16.0,4.0,True
ASRock B550M Steel Legend,129.99,AM4,Micro ATX,0.1232876712328767,0.2727272727272727,Silver / Black,ASRock,B550,0.4000000000000001,3.0,0.6363636363636364,0.75,1.0,False,128,4,6.0,16.0,4.0,True
Gigabyte B650M K,119.99,AM5,Micro ATX,0.1232876712328767,0.2727272727272727,Brown / Silver,Gigabyte,B650,0.2,2.0,0.6363636363636364,0.75,1.0,False,128,4,4.0,16.0,4.0,True
Asus ROG STRIX X670E-I GAMING WIFI,429.99,AM5,Mini ITX,0.060665362035225046,0.09090909090909091,Black / Silver,Asus,X670,0.6000000000000001,4.0,0.6363636363636364,0.75,1.0,True,64,2,8.0,16.0,4.0,True
MSI B450I GAMING PLUS MAX WIFI,149.99,AM4,Mini ITX,0.060665362035225046,0.09090909090909091,Black,MSI,B450,0.2,2.0,0.1818181818181818,0.5,1.0,True,64,2,4.0,6.0,3.0,True
ASRock B550 Pro4,114.99,AM4,ATX,0.1232876712328767,0.2727272727272727,Silver / Black,ASRock,B550,0.4000000000000001,3.0,0.6363636363636364,0.75,1.0,False,128,4,6.0,16.0,4.0,True
ASRock B550M PG RIPTIDE,89.99,AM4,Micro ATX,0.1232876712328767,0.2727272727272727,,ASRock,B550,0.4000000000000001,3.0,0.6363636363636364,0.75,1.0,False,128,4,6.0,16.0,4.0,True
Asus ROG STRIX Z790-A GAMING WIFI,349.99,1700,ATX,0.1232876712328767,0.2727272727272727,Silver / Black,Asus,Z790,0.4000000000000001,4.0,0.6363636363636364,1.0,1.0,True,128,4,6.0,16.0,5.0,True
Asus ROG CROSSHAIR X670E HERO,656.53,AM5,ATX,0.1232876712328767,0.2727272727272727,Black / Silver,Asus,X670,0.6000000000000001,4.0,0.6363636363636364,0.75,1.0,False,128,4,8.0,16.0,4.0,True
MSI MAG B760 TOMAHAWK WIFI,199.99,1700,ATX,0.1232876712328767,0.2727272727272727,Black,MSI,B760,0.2,2.0,0.09090909090909091,0.75,0.0,True,128,4,4.0,4.0,4.0,False
ASRock B450M Pro4,139.99,AM4,Micro ATX,0.1232876712328767,0.2727272727272727,Black / Silver,ASRock,B450,0.2,2.0,0.1818181818181818,0.5,1.0,False,128,4,4.0,6.0,3.0,True
ASRock X670E Steel Legend,299.99,AM5,ATX,0.1232876712328767,0.2727272727272727,Black / White,ASRock,X670,0.6000000000000001,4.0,0.6363636363636364,0.75,1.0,False,128,4,8.0,16.0,4.0,True
MSI MAG X570S TOMAHAWK MAX WIFI,279.5,AM4,ATX,0.1232876712328767,0.2727272727272727,Black,MSI,X570,1.0000000000000002,4.0,0.6363636363636364,0.75,1.0,True,128,4,12.0,16.0,4.0,True
MSI MPG X570S EDGE MAX WIFI,199.99,AM4,ATX,0.1232876712328767,0.2727272727272727,Black / Silver,MSI,X570,1.0000000000000002,4.0,0.6363636363636364,0.75,1.0,True,128,4,12.0,16.0,4.0,True
Asus ROG STRIX X670E-A GAMING WIFI,385.99,AM5,ATX,0.1232876712328767,0.2727272727272727,Silver / Black,Asus,X670,0.6000000000000001,4.0,0.6363636363636364,0.75,1.0,True,128,4,8.0,16.0,4.0,True
Asus TUF GAMING Z690-PLUS WIFI D4,274.99,1700,ATX,0.1232876712328767,0.2727272727272727,Black / Silver,Asus,Z690,0.4000000000000001,4.0,0.6363636363636364,1.0,1.0,True,128,4,6.0,16.0,5.0,True
