name,price,core_count,core_clock,boost_clock,tdp,graphics,smt,codename,socket,lithography,cache,supported_mem,supported_chipset,release_date,pmprice,cpuMark,threadMark,category
Intel Core i7-13700T,,16,1.4,4.9,35,,True,Raptor Lake-S,Socket 1700,10 nm,30 MB,"DDR4, DDR5","B660, Z690, B760, Z790","Jan 4th, 2023",,,,
AMD Athlon X4 860K,,4,3.7,4.0,95,,False,Kaveri,Socket FM2+,28 nm,,DDR3,"A88X, A85X, A78, A75, A68H","Aug 12th, 2014",29.97,3436.0,1531.0,Desktop
Intel Xeon E5-2630,36.65,6,2.3,2.3,95,,True,Sandy Bridge-EP,Socket 2011,32 nm,15 MB,DDR3,,"Mar 6th, 2012",49.0,6131.0,1270.0,Server
Intel Core i7-860,270.0,4,2.8,2.8,95,,True,Lynnfield,Socket 1156,45 nm,8 MB,DDR3,,"Sep 8th, 2009",43.99,2890.0,1319.0,Desktop
Intel Celeron 420,49.95,1,1.6,1.6,35,,False,Conroe-L,Socket 775,65 nm,,"DDR1, DDR2, DDR3",,"Jun 3rd, 2007",49.95,235.0,471.0,Desktop
AMD 3850,,4,1.3,1.3,25,Radeon HD 8280,False,Llano,Socket FM1,32 nm,,DDR3,"A75, A55","Jun 30th, 2011",,,,
Intel Core i7-4820K,168.0,4,3.7,3.9,130,,True,Ivy Bridge-E,Socket 2011,22 nm,10 MB,DDR3,,"Sep 1st, 2013",149.73,6501.0,1945.0,Desktop
AMD Opteron 6344,77.0,12,2.6,3.2,115,,False,,,,,,,,379.0,6069.0,1231.0,Server
Intel Xeon E5-2660 V4,242.8,14,2.0,3.2,105,,True,,,,,,,,,,,
Intel Core 2 Quad Q9300,42.6,4,2.5,2.5,95,,False,Yorkfield,Socket 775,45 nm,,"DDR1, DDR2, DDR3",,"Mar 10th, 2008",,,,
AMD FX-4300,,4,3.8,3.8,95,,False,Vishera,Socket AM3+,32 nm,8 MB,DDR3,"AMD 700 Series, AMD 800 Series, AMD 900 Series","Oct 23rd, 2012",,,,
Intel Core i5-2400S,99.07,4,2.5,2.5,65,Intel HD Graphics 2000,False,Sandy Bridge,Socket 1155,32 nm,6 MB,DDR3,,"Jan 9th, 2011",144.19,3160.0,1480.0,Desktop
Intel Xeon E5-2697 V2,,12,2.7,3.5,130,,True,Ivy Bridge-EP,Socket 2011,22 nm,30 MB,DDR3,,"Sep 1st, 2013",,,,
Intel Core i9-7920X,538.5,12,2.9,4.4,140,,True,Skylake-X,Socket 2066,14 nm,16.5 MB,DDR4,,"Sep 10th, 2017",375.0,23292.0,2467.0,Desktop
Intel Core i3-10305,109.99,4,3.8,4.5,65,Intel UHD Graphics 630,True,Comet Lake-R,Socket 1200,14 nm,8 MB,DDR4,,"Mar 16th, 2021",159.99,9689.0,2834.0,Desktop
Intel Core i3-10300,178.24,4,3.7,4.4,65,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14 nm,8 MB,DDR4,,"Apr 30th, 2020",138.99,9284.0,2677.0,Desktop
Intel Xeon E5-2650,48.96,8,2.0,2.8,95,,True,Sandy Bridge-EP,Socket 2011,32 nm,20 MB,DDR3,,"Mar 6th, 2012",49.0,7335.0,1266.0,Server
Intel Core 2 Quad Q6600,104.97,4,2.4,2.4,100,,False,Kentsfield,Socket 775,65 nm,,"DDR1, DDR2, DDR3
Depends on motherboard",,"Jul 23rd, 2007",,,,
Intel Core i7-4790S,,4,3.2,4.0,65,Intel HD Graphics 4000,True,Haswell,Socket 1150,22 nm,8 MB,DDR3,"Z87, H87, Z97, H97","May 11th, 2014",163.0,6954.0,2198.0,Desktop
AMD A10-7850K,139.84,4,3.7,4.0,95,Radeon R7 (on-die),False,Kaveri,Socket FM2+,28 nm,,DDR3,"A88X, A85X, A78, A75, A68H","Jan 14th, 2014",,,,
Intel Xeon E5-2620 V4,129.0,8,2.1,3.0,85,,True,,,,,,,,,,,
AMD Athlon X4 950,,4,3.5,3.8,65,,False,Bristol Ridge,Socket AM4,28 nm,,DDR4,"X370, B350, A320","Jul 27th, 2017",35.99,3611.0,1663.0,Desktop
AMD FX-6100,72.8,6,3.3,3.3,95,,False,Zambezi,Socket AM3+,32 nm,8 MB,DDR3,,"Oct 12th, 2011",,,,
Intel Core i9-9980XE,1998.95,18,3.0,4.4,165,,True,Skylake-X,Socket 2066,14 nm,24.75 MB,DDR4,,"Oct 19th, 2018",1442.21,31905.0,2566.0,Desktop
