name,price,capacity,price_per_gb,type,cache,form_factor,interface,speed
Western Digital Black SN850X w/Heatsink,142.99,2000,0.071,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
TEAMGROUP MP34,185.99,4000,0.046,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Sabrent Rocket 4.0,59.99,1000,0.06,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
ADATA XPG GAMMIX S70 Blade,54.99,1000,0.055,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Patriot P300,17.98,256,0.07,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Samsung 850 Evo,,250,,SSD,0,2.5,SATA 6.0 Gb/s,550
Silicon Power A80,78.97,2000,0.039,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
TEAMGROUP Cardea Zero Z440 Graphene,48.99,1000,0.049,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Leven JPS600,63.99,2000,0.032,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
ADATA XPG GAMMIX S70 Blade,99.99,2000,0.05,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Samsung 970 Evo,105,1000,0.105,SSD,1024,M.2,M.2 PCIe 3.0 X4,3500
Seagate IronWolf Pro,124.99,4000,0.031,7200,256,3.5,SATA 6.0 Gb/s,160
Samsung 980 Pro,36.99,250,0.148,SSD,512,M.2,M.2 PCIe 4.0 X4,7000
Solidigm P44 Pro,79.98,1000,0.08,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Silicon Power A55,14.97,256,0.058,SSD,0,2.5,SATA 6.0 Gb/s,550
Western Digital Blue,81.99,4000,0.02,5400,256,3.5,SATA 6.0 Gb/s,160
Seagate Barracuda Compute,101.98,8000,0.013,5400,256,3.5,SATA 6.0 Gb/s,160
Crucial BX500,41.99,1000,0.042,SSD,0,2.5,SATA 6.0 Gb/s,550
Leven JPS600,34.99,1000,0.035,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
TEAMGROUP MP44L,87.99,2000,0.044,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Seagate IronWolf NAS,69.99,4000,0.017,5400,256,3.5,SATA 6.0 Gb/s,160
Western Digital Blue SN550,91.44,1000,0.091,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Western Digital Red,68.45,4000,0.017,5400,256,3.5,SATA 6.0 Gb/s,160
Samsung 870 QVO,215,4000,0.054,SSD,0,2.5,SATA 6.0 Gb/s,550
TEAMGROUP T-Force Cardea Z44L,,1000,,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
TEAMGROUP Cardea Zero Z440,88.99,2000,0.044,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
