name,price,capacity,price_per_gb,type,cache,form_factor,interface,speed,capacity_spec,cache_spec,speed_spec
ADATA XPG GAMMIX S70 Blade,99.99,0.09057839214259732,0.9913697720734675,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,2.0,0,7000
Samsung 970 Evo,105.0,0.04510731174972717,0.9791989378181013,SSD,0.0078125,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,1.0,1024,3500
Seagate IronWolf Pro,124.99,0.18152055292833758,0.9955742420889577,HDD,0.001953125,3.5,SATA 6.0 Gb/s,0.0,4.0,256,160
Samsung 980 Pro,36.99,0.011004001455074573,0.9696835583093605,SSD,0.00390625,M.2,M.2 PCIe 4.0 X4,1.0,0.25,512,7000
Solidigm P44 Pro,79.98,0.04510731174972717,0.9847311352069041,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,1.0,0,7000
Silicon Power A55,14.97,0.011276827937431793,0.9895994689090507,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,0.256,0,550
Western Digital Blue,81.99,0.18152055292833758,0.998008408940031,HDD,0.001953125,3.5,SATA 6.0 Gb/s,0.0,4.0,256,160
Seagate Barracuda Compute,101.98,0.3634048744998181,0.9995574242088958,HDD,0.001953125,3.5,SATA 6.0 Gb/s,0.0,8.0,256,160
Crucial BX500,41.99,0.04510731174972717,0.9931400752378845,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,1.0,0,550
Leven JPS600,34.99,0.04510731174972717,0.9946890905067493,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,1.0,0,3500
TEAMGROUP MP44L,87.99,0.09057839214259732,0.9926974994467803,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,2.0,0,7000
Seagate IronWolf NAS,69.99,0.18152055292833758,0.9986722726266873,HDD,0.001953125,3.5,SATA 6.0 Gb/s,0.0,4.0,256,160
Western Digital Blue SN550,91.44,0.04510731174972717,0.9822969683558309,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,1.0,0,3500
Western Digital Red,68.45,0.18152055292833758,0.9986722726266873,HDD,0.001953125,3.5,SATA 6.0 Gb/s,0.0,4.0,256,160
Samsung 870 QVO,215.0,0.18152055292833758,0.9904846204912592,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,4.0,0,550
TEAMGROUP T-Force Cardea Z44L,,0.04510731174972717,,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,1.0,0,7000
TEAMGROUP Cardea Zero Z440,88.99,0.09057839214259732,0.9926974994467803,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,2.0,0,7000
Seagate BarraCuda,30.22,0.04510731174972717,0.9957955299845098,HDD,0.00048828125,3.5,SATA 6.0 Gb/s,0.0,1.0,64,160
Samsung 970 Evo,61.99,0.02237177155329211,0.9749944678026112,SSD,0.00390625,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,0.5,512,3500
ADATA Legend 800,89.99,0.09057839214259732,0.9924762115512281,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,2.0,0,7000
Crucial P5 Plus,42.99,0.02237177155329211,0.9834034078335915,SSD,0.0078125,M.2,M.2 PCIe 4.0 X4,1.0,0.5,1024,7000
Lexar NM620,69.0,0.04510731174972717,0.9871653020579775,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,1.0,0,3500
Toshiba MK3276GSX,12.7,0.014186977082575483,0.9935826510289887,HDD,6.103515625e-05,2.5,SATA 3.0 Gb/s,0.0,0.32,8,160
Western Digital Black SN750,112.97,0.04510731174972717,0.9774286346536845,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,1.0,0,3500
Silicon Power A55,21.97,0.02291742451800655,0.9929187873423324,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,0.512,0,550
Seagate FireCuda 530,69.45,0.04510731174972717,0.9871653020579775,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,1.0,0,7000
Western Digital Blue,114.99,0.3634048744998181,0.9993361363133436,HDD,0.0009765625,3.5,SATA 6.0 Gb/s,0.05701754385964912,8.0,128,550
Samsung 850 Evo,,0.02237177155329211,,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,0.5,0,550
Western Digital Blue,49.0,0.02237177155329211,0.9807479530869662,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,0.5,0,550
Seagate FireCuda 530,331.72,0.18152055292833758,0.9840672715202479,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,4.0,0,7000
PNY CS1030,35.99,0.04510731174972717,0.9944678026111972,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,1.0,0,3500
Western Digital Black SN850X w/Heatsink,69.99,0.04510731174972717,0.9869440141624253,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,1.0,0,7000
Seagate Surveillance HDD,100.0,0.09057839214259732,0.9913697720734675,HDD,0.00048828125,3.5,SATA 6.0 Gb/s,0.0,2.0,64,160
ADATA XPG SX8200 Pro,44.99,0.04510731174972717,0.9924762115512281,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,1.0,0,3500
Seagate FireCuda,89.99,0.18152055292833758,0.9975658331489268,HDD,0.001953125,3.5,SATA 6.0 Gb/s,0.0,4.0,256,160
MSI SPATIUM M461,86.99,0.09057839214259732,0.9929187873423324,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,2.0,0,7000
Silicon Power A55,19.97,0.02291742451800655,0.9938039389245408,SSD,0.0,M.2,M.2 SATA,0.05701754385964912,0.512,0,550
Western Digital Blue,36.99,0.04510731174972717,0.9942465147156451,HDD,0.00048828125,3.5,SATA 6.0 Gb/s,0.0,1.0,64,160
Samsung 870 QVO,59.0,0.04510731174972717,0.9893781810134986,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,1.0,0,550
Silicon Power UD85,,0.04510731174972717,,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,1.0,0,7000
Silicon Power P34A60,16.97,0.011276827937431793,0.9878291657446338,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,0.256,0,3500
Solidigm P41 Plus,49.99,0.04510731174972717,0.9913697720734675,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,1.0,0,7000
Leven JS600,32.99,0.04510731174972717,0.9951316662978535,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,1.0,0,550
Mushkin Source HC,,0.7271735176427793,,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,16.0,0,550
SK Hynix Platinum P41,71.98,0.04510731174972717,0.9865014383713211,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,1.0,0,7000
Kingston NV2,204.99,0.18152055292833758,0.9911484841779155,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,4.0,0,7000
Corsair MP600 CORE XT,219.99,0.18152055292833758,0.990263332595707,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,4.0,0,7000
PNY CS900,34.99,0.04510731174972717,0.9946890905067493,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,1.0,0,550
Western Digital Caviar Blue,22.0,0.02237177155329211,0.9926974994467803,HDD,0.0001220703125,3.5,SATA 6.0 Gb/s,0.0,0.5,16,160
PNY CS900,61.99,0.09057839214259732,0.9955742420889577,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,2.0,0,550
Sabrent Rocket 4 Plus,79.98,0.04510731174972717,0.9847311352069041,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,1.0,0,7000
Mushkin ELEMENT,20.41,0.005456529647144416,0.9672493914582873,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,0.128,0,550
TEAMGROUP T-Force Vulcan Z,38.49,0.04510731174972717,0.994025226820093,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,1.0,0,550
Western Digital Red Pro,409.99,1.0,0.998229696835583,HDD,0.00390625,3.5,SATA 6.0 Gb/s,0.0,22.0,512,160
KIOXIA EXCERIA G2,,0.04510731174972717,,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,1.0,0,3500
Corsair MP600,62.99,0.04510731174972717,0.9884930294312901,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,1.0,0,7000
Crucial P2,43.99,0.02237177155329211,0.9829608320424873,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,0.5,0,3500
Western Digital WD_BLACK,77.5,0.09057839214259732,0.9938039389245408,HDD,0.00048828125,3.5,SATA 6.0 Gb/s,0.0,2.0,64,160
ADATA XPG SX8200 Pro,84.99,0.09057839214259732,0.9931400752378845,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,2.0,0,3500
Acer Predator GM7000,109.99,0.09057839214259732,0.990263332595707,SSD,0.015625,M.2,M.2 PCIe 4.0 X4,1.0,2.0,2048,7000
Patriot P300,14.99,0.005456529647144416,0.976543483071476,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,0.128,0,3500
SK Hynix Gold P31,51.19,0.04510731174972717,0.9911484841779155,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,1.0,0,3500
