chipset,memory,core_clock,boost_clock,CUDA,Metal,OpenCL,Vulkan,api_score
GeForce GTX 580,1.5,782.0,782.0,,,7.278389586854623,,7.28
GeForce GTX 680,2.0,1006.0,1006.0,5.7175794398295405,5.730553558590942,7.9804927773615155,12.201213466005617,7.91
GeForce GTX 680,4.0,1071.0,1071.0,5.7175794398295405,5.730553558590942,7.9804927773615155,12.201213466005617,7.91
Radeon R7 360,2.0,1070.0,1070.0,,,8.51310791266619,13.320167805013348,10.92
GeForce GTX 560,1.0,810.0,810.0,,,4.41218700447821,,4.41
GeForce GTX 560,2.0,850.0,850.0,,,4.41218700447821,,4.41
GeForce GTX 690,4.0,915.0,915.0,5.305627180928266,5.6522645578720345,7.5720826290752585,11.295752868980342,7.46
Quadro K4000,3.0,810.0,810.0,2.501065373807245,3.10431344356578,3.86102737458398,5.449044828901293,3.73
GeForce GT 640,2.0,901.0,901.0,1.6003497205323782,,2.5931014654376274,3.469250771417675,2.55
GeForce GT 640,1.0,,,1.6003497205323782,,2.5931014654376274,3.469250771417675,2.55
GeForce GT 640,4.0,901.0,901.0,1.6003497205323782,,2.5931014654376274,3.469250771417675,2.55
Radeon R9 270,2.0,950.0,975.0,,,10.552139782885222,,10.55
FirePro W2100,2.0,630.0,630.0,,,2.8298672219414867,,2.83
Radeon HD 7770,2.0,1020.0,1020.0,,9.012760603882098,,,9.01
Radeon HD 7770,1.0,1020.0,1020.0,,9.012760603882098,,,9.01
Quadro K5000,4.0,706.0,706.0,3.78048667510731,4.22882818116463,3.9899763020787953,7.982137780397323,5.0
FirePro W4100,2.0,630.0,630.0,,,3.7570919514192616,6.374413202510141,5.07
GeForce GTX 570,1.25,797.0,797.0,,,6.232997612782937,,6.23
GeForce GTX 570,2.5,732.0,732.0,,,6.232997612782937,,6.23
Radeon HD 6670,2.0,800.0,800.0,,,1.6361192911533569,,1.64
Radeon HD 6670,1.0,800.0,800.0,,,1.6361192911533569,,1.64
Quadro 410,0.5,706.0,706.0,,1.461430625449317,1.5451218874697241,,1.5
GeForce GTX 460,1.0,715.0,715.0,,,3.7808116538012513,,3.78
GeForce GTX 460,0.75,700.0,700.0,,,3.7808116538012513,,3.78
GeForce GTX 460,2.0,700.0,700.0,,,3.7808116538012513,,3.78
Radeon HD 6450,0.5,625.0,625.0,,,1.1940702922162783,,1.19
Radeon HD 6450,2.0,625.0,625.0,,,1.1940702922162783,,1.19
Radeon HD 6450,1.0,625.0,625.0,,,1.1940702922162783,,1.19
Quadro K1200,4.0,1058.0,1124.0,3.9772913256955817,,4.816284479604105,6.954484623652186,5.25
Quadro K600,1.0,876.0,876.0,1.0282787264922955,1.6132638389647735,1.599461569290282,2.1876018444683285,1.61
Radeon R7 250,2.0,1050.0,1100.0,,,5.354937357333287,6.986748951218666,6.17
Radeon R7 250,1.0,1000.0,1000.0,,,5.354937357333287,6.986748951218666,6.17
Radeon R7 250,4.0,1000.0,1050.0,,,5.354937357333287,6.986748951218666,6.17
GeForce GT 720,2.0,797.0,797.0,1.088657629002872,1.7811107117181884,1.9444754221192213,2.6049786776687585,1.85
GeForce GT 720,1.0,797.0,797.0,1.088657629002872,1.7811107117181884,1.9444754221192213,2.6049786776687585,1.85
GeForce GT 520,1.0,810.0,810.0,,,1.4127228214466188,,1.41
GeForce GT 520,0.5,810.0,810.0,,,1.4127228214466188,,1.41
GeForce GT 520,2.0,810.0,810.0,,,1.4127228214466188,,1.41
Radeon R9 280,3.0,850.0,940.0,,,16.374248549373572,26.236195957424677,21.31
Radeon Pro Duo,8.0,1000.0,1000.0,,,22.584929167610515,43.16810317928093,32.88
GeForce GT 740,2.0,1059.0,1059.0,1.7719328042491433,,2.751376570422903,3.8680927781437435,2.8
GeForce GT 740,4.0,1006.0,1006.0,1.7719328042491433,,2.751376570422903,3.8680927781437435,2.8
GeForce GT 740,1.0,1071.0,1071.0,1.7719328042491433,,2.751376570422903,3.8680927781437435,2.8
Radeon Pro WX 8200,8.0,1200.0,1530.0,,34.38788641265277,30.728981163637627,44.39620705197101,36.5
Quadro 6000,6.0,,,,,4.798602519646622,,4.8
GeForce GTS 450,1.0,783.0,783.0,,,2.862643537960236,,2.86
GeForce GTS 450,2.0,783.0,783.0,,,2.862643537960236,,2.86
Quadro K420,2.0,876.0,891.0,1.025985856776704,1.6132638389647735,1.5714291937479308,2.178677668758451,1.6
Quadro K420,1.0,876.0,876.0,1.025985856776704,1.6132638389647735,1.5714291937479308,2.178677668758451,1.6
FirePro W9000,6.0,975.0,975.0,,,14.62502831553085,,14.63
Quadro K5200,8.0,667.0,667.0,5.758851094710188,6.146908698777858,7.834293157225252,13.259071525153416,8.25
Radeon HD 6950,2.0,800.0,800.0,,,3.1865252923034033,,3.19
Radeon HD 6950,1.0,850.0,850.0,,,3.1865252923034033,,3.19
Radeon R5 230,1.0,625.0,625.0,,,1.197951698060604,,1.2
Radeon R5 230,2.0,650.0,650.0,,,1.197951698060604,,1.2
FirePro W5100,4.0,930.0,930.0,,,6.917418843332346,12.04057830322782,9.48
Radeon HD 5770,1.0,850.0,850.0,,,1.3527766645175905,,1.35
GeForce GTX 590,3.0,630.0,630.0,,,6.075153775113698,,6.08
GeForce GTX 470,1.25,607.0,607.0,,,5.4101395737859175,,5.41
Quadro 5000,2.5,,,,,3.609167262018854,,3.61
Radeon HD 7770 GHz Edition,1.0,1000.0,1000.0,,,7.072675077105369,,7.07
FirePro V5900,2.0,600.0,600.0,,,2.163559218665598,,2.16
Radeon R7 265,2.0,900.0,925.0,,,9.827610691944448,,9.83
Radeon R7 265,1.0,925.0,925.0,,,9.827610691944448,,9.83
Quadro K2000D,2.0,,,,,2.474934220843716,,2.47
FirePro V4900,1.0,800.0,800.0,,,1.6400006969976824,,1.64
FirePro W7000,4.0,950.0,950.0,,,10.01348690515604,,10.01
Radeon HD 5870,1.0,870.0,870.0,,,1.581779609332799,,1.58
Radeon HD 5870,2.0,,,,,1.581779609332799,,1.58
Radeon HD 6870,1.0,900.0,900.0,,,3.0562825628604786,,3.06
Radeon HD 6870,2.0,900.0,900.0,,,3.0562825628604786,,3.06
FirePro W8100,8.0,824.0,824.0,,,15.88864155151684,,15.89
Radeon R7 350,2.0,925.0,925.0,,,5.6443177263935596,7.615560101237735,6.63
GeForce GT 430,1.0,735.0,735.0,,,1.7728310303368242,,1.77
GeForce GT 430,2.0,700.0,700.0,,,1.7728310303368242,,1.77
GeForce GT 430,0.5,700.0,700.0,,,1.7728310303368242,,1.77
GeForce GT 430,4.0,700.0,700.0,,,1.7728310303368242,,1.77
