chipset,memory,core_clock,boost_clock,G3Dmark,G2Dmark,testDate,category
Radeon HD 5970,2.0,725.0,725.0,2249,393,2012,Desktop
Radeon HD 6990,4.0,830.0,830.0,3013,630,2011,Desktop
FirePro V8800,2.0,825.0,825.0,2223,471,2020,Unknown
FirePro W600,2.0,600.0,600.0,1752,631,2013,Workstation
FirePro W4300,4.0,930.0,930.0,2863,771,2016,Workstation
GeForce GTX 465,1.0,607.0,607.0,2681,454,2012,Desktop
GeForce GTX 460 SE,1.0,660.0,660.0,1974,359,2012,Desktop
Radeon HD 6790,1.0,900.0,900.0,1613,370,2011,Desktop
GeForce GTX 560 SE,1.0,746.0,746.0,2087,413,2012,Desktop
FirePro V9800,4.0,,,2727,655,2016,Unknown
Radeon R7 260,1.0,1000.0,1000.0,2892,559,2014,Desktop
FirePro S9000,6.0,900.0,900.0,5059,561,2015,Unknown
FirePro S10000,6.0,825.0,825.0,5315,493,2015,Unknown
